strategy,query,question_type,precision_at_k,recall_at_k,k,retrieval_latency_ms,generation_latency_ms,total_latency_ms,answer_length_chars,answer_length_words
bm25,What is the most popular Python framework that is used to build systems like Instagram?,factual,0.3333333333333333,1.0,3,537.119899992831,253877.27459997404,254414.39449996687,6,1
bm25,"Who created Django REST Framework, Starlette, and Uvicorn?",factual,0.3333333333333333,1.0,3,577.3045999812894,97142.37830002094,97719.68290000223,12,2
bm25,What are the two web user interfaces for API documentation that FastAPI integrates based on the OpenAPI standard?,factual,0.3333333333333333,1.0,3,74.26110003143549,97265.51070000278,97339.77180003421,21,4
bm25,What status code range should I use for errors caused by the client?,factual,0.3333333333333333,1.0,3,82.82840001629665,111271.67669998016,111354.50509999646,9,3
bm25,Can I add custom headers to an HTTP error response?,factual,0.3333333333333333,1.0,3,258.1173999933526,121593.50759995868,121851.62499995204,545,76
bm25,How do I create a custom exception handler for my own exception type?,procedural,0.3333333333333333,1.0,3,63.33999999333173,105718.44769996824,105781.78769996157,1161,153
bm25,What exception does FastAPI raise internally when a request contains invalid data?,factual,0.6666666666666666,1.0,3,68.5436999774538,116403.5405999748,116472.08429995226,89,11
bm25,What is the difference between FastAPI's HTTPException and Starlette's HTTPException?,conceptual,0.3333333333333333,1.0,3,53.82339999778196,105573.55480000842,105627.3782000062,423,56
bm25,"When I register an exception handler, should I register it for FastAPI's HTTPException or Starlette's HTTPException?",procedural,0.3333333333333333,1.0,3,52.9435999924317,63998.47180000506,64051.415399997495,144,20
bm25,Does the RequestValidationError contain the invalid data that the client sent?,factual,0.3333333333333333,0.5,3,48.44499996397644,105182.18100001104,105230.62599997502,210,31
bm25,What is the main job of a data serialization library like Marshmallow in an API?,conceptual,0.3333333333333333,1.0,3,428.65670000901446,158993.06420001085,159421.72090001986,73,10
bm25,"Which framework inspired FastAPI to get crazy performance, and why?",conceptual,0.3333333333333333,1.0,3,179.77729998528957,128282.33670000918,128462.11399999447,343,50
bm25,What is the recommended server to run a FastAPI application?,factual,0.0,0.0,3,45.0944000040181,102367.70530001377,102412.79970001779,8,1
bm25,What basic features does Starlette provide that FastAPI builds on top of?,factual,0.3333333333333333,0.5,3,75.56579998345114,113116.83870002162,113192.40450000507,354,44
bm25,How do I run the live server for my FastAPI app?,procedural,0.0,0.0,3,45.45440000947565,97548.18949999753,97593.64390000701,48,8
bm25,"After I start the server, what URL should I open in my browser to see the JSON response?",procedural,0.0,0.0,3,95.2763999812305,129378.07259999681,129473.34899997804,1136,162
bm25,Where can I find the automatic interactive API documentation provided by Swagger UI?,procedural,0.0,0.0,3,43.87300001690164,110605.26000001119,110649.13300002809,26,1
bm25,What is OpenAPI?,conceptual,0.0,0.0,3,43.03420000360347,125566.24639997608,125609.28059997968,585,90
bm25,Does FastAPI automatically generate a raw JSON schema of my API?,factual,0.3333333333333333,1.0,3,38.90819998923689,116473.04909999366,116511.9572999829,195,26
bm25,"What are the steps to create a basic FastAPI application, from importing to deploying?",procedural,0.0,0.0,3,38.05179998744279,136108.9794000145,136147.03120000195,668,98
bm25,Can I use a normal function instead of an 'async def' function for my path operation?,factual,0.0,0.0,3,41.82620000210591,90209.90819999133,90251.73439999344,332,55
bm25,How does FastAPI know if a function parameter is a query parameter and not a path parameter?,conceptual,0.0,0.0,3,44.697700010146946,123796.7828999972,123841.48060000734,796,134
bm25,What are query parameters in a URL? Can you give me an example?,factual,0.3333333333333333,1.0,3,44.835400010924786,117122.78229999356,117167.61770000448,352,54
bm25,"If I declare a query parameter with a default value, is it required or optional?",factual,0.3333333333333333,0.5,3,42.61050000786781,151487.49399997178,151530.10449997964,1311,208
bm25,How do I make a query parameter optional?,procedural,0.0,0.0,3,36.4224000077229,111316.37009998667,111352.7924999944,75,16
bm25,Can FastAPI automatically convert query parameter values from strings to other types like integers or booleans?,factual,0.3333333333333333,1.0,3,42.50609999871813,114744.38230000669,114786.88840000541,268,43
bm25,What values can I pass in the URL to make a boolean query parameter become True?,procedural,0.3333333333333333,0.5,3,27.73979998892173,126020.9188000008,126048.65859998972,462,65
bm25,How do I make a query parameter required (not optional)?,procedural,0.3333333333333333,1.0,3,41.210199997294694,145673.1417000119,145714.3519000092,964,158
bm25,What happens if I don't provide a required query parameter in the URL?,factual,0.3333333333333333,1.0,3,36.43229999579489,109987.19970000093,110023.63199999672,60,9
bm25,What is a request body? When do I need to send one?,conceptual,0.3333333333333333,1.0,3,41.86980001395568,115807.57059997995,115849.44039999391,256,46
bm25,"How do I create a dependency that needs to do some cleanup after the request is finished, like closing a database session?",procedural,0.3333333333333333,1.0,3,253.96320002619177,198752.9720000457,199006.9352000719,745,107
bm25,Can I use a try block inside a dependency that uses yield?,factual,0.6666666666666666,1.0,3,171.5960000292398,175707.07820000825,175878.6742000375,1396,215
bm25,"If I have multiple dependencies that use yield, does FastAPI run their exit code in the correct order?",factual,0.3333333333333333,0.5,3,86.40500000910833,127230.7518000016,127317.1568000107,122,17
bm25,What happens if I catch an exception in a dependency with yield but don't re-raise it?,conceptual,0.6666666666666666,1.0,3,70.89859998086467,120540.10800004471,120611.00660002558,54,10
bm25,What is the recommended way to handle exceptions caught in a dependency with yield?,procedural,0.0,0.0,3,277.4656999972649,130367.21779999789,130644.68349999515,341,54
bm25,What are the two possible scope values I can use with Depends() for a dependency that uses yield?,factual,0.3333333333333333,1.0,3,103.38709998177364,117722.28579997318,117825.67289995495,21,2
bm25,What is a context manager in Python?,conceptual,0.3333333333333333,1.0,3,43.48319995915517,100898.25040003052,100941.73359998967,921,129
bm25,Do I need to decorate my dependency function with @contextlib.contextmanager when using yield in FastAPI?,factual,0.0,0.0,3,50.1833000453189,83059.91290003294,83110.09620007826,357,50
bm25,What does JWT stand for and what does a JWT token look like?,factual,0.0,0.0,3,41.23859998071566,92580.4383000359,92621.67690001661,231,29
bm25,"If I store a JWT token, is the information inside it encrypted?",conceptual,0.3333333333333333,1.0,3,54.47689996799454,115906.60350001417,115961.08039998217,242,40
bm25,What Python package do I need to install to generate and verify JWT tokens?,procedural,0.3333333333333333,1.0,3,38.08780002873391,79675.93359999591,79714.02140002465,5,1
bm25,What is password hashing and why should I use it?,conceptual,0.3333333333333333,0.5,3,28.478400025051087,117489.4048999995,117517.88330002455,435,67
bm25,"What Python package does FastAPI recommend for password hashing, and what is the recommended algorithm?",factual,0.3333333333333333,1.0,3,26.985100004822016,79192.76659999741,79219.75170000223,88,12
bm25,How do I generate a secure random secret key for signing JWT tokens?,procedural,0.3333333333333333,1.0,3,24.375899985898286,110751.80219998583,110776.17809997173,161,18
bm25,Why does the authenticate_user function run verify_password against a dummy hash when the username doesn't exist in the database?,conceptual,0.6666666666666666,1.0,3,27.29260001797229,78255.0929999561,78282.38559997408,77,12
bm25,What is the 'sub' key in a JWT token used for?,factual,0.3333333333333333,1.0,3,23.38859997689724,86485.93359999359,86509.32219997048,358,52
bm25,Does FastAPI force me to use a specific database?,factual,0.0,0.0,3,25.596499966923147,89369.79749996681,89395.39399993373,54,10
bm25,What is SQLModel and why would I use it with FastAPI?,factual,0.0,0.0,3,24.858799995854497,145865.58540002443,145890.44420002028,1450,203
bm25,How do I install SQLModel?,procedural,0.0,0.0,3,25.861100002657622,106274.61050002603,106300.47160002869,54,10
bm25,What is the difference between a table model and a data model in SQLModel?,conceptual,0.0,0.0,3,28.612199996132404,109220.63190001063,109249.24410000676,54,10
bm25,Why should I use separate models for creating data and returning data in my API?,conceptual,0.0,0.0,3,28.569400019478053,99898.42520002276,99926.99460004224,454,65
bm25,"What is the purpose of a Session in SQLModel, and how should I manage it per request?",procedural,0.3333333333333333,0.5,3,27.278700028546154,120281.15049999906,120308.4292000276,478,73
bm25,"What SQL database does the example use, and why?",factual,0.3333333333333333,1.0,3,43.40550000779331,112587.56240003277,112630.96790004056,189,31
bm25,"How do I update only the fields that a client sends, instead of replacing the entire record?",procedural,0.0,0.0,3,26.093500026036054,134249.63299999945,134275.72650002548,927,140
bm25,What is a middleware in FastAPI?,conceptual,0.3333333333333333,1.0,3,21.28330001141876,96625.79679995542,96647.08009996684,333,49
bm25,How do I create a middleware in FastAPI?,procedural,0.3333333333333333,1.0,3,22.357899986673146,156555.44929997995,156577.80719996663,1291,179
bm25,When do dependencies with yield and background tasks run compared to middleware?,factual,0.0,0.0,3,54.58519997773692,105876.98010000167,105931.56529997941,508,82
bm25,How can I add a custom header to measure request processing time?,procedural,0.3333333333333333,0.5,3,26.456699997652322,87306.0197000159,87332.47640001355,354,49
bm25,"If I add multiple middlewares, what order do they execute in?",conceptual,0.0,0.0,3,27.11779996752739,109913.95979997469,109941.07759994222,269,40
bm25,"If I want browser clients to see my custom header, what do I need to configure?",procedural,0.0,0.0,3,26.79169998737052,101145.70079999976,101172.49249998713,308,50
bm25,When should I use async def vs normal def for my path operation functions?,procedural,0.0,0.0,3,31.81590000167489,100546.35070002405,100578.16660002572,489,77
bm25,Can I mix def and async def in my path operation functions?,factual,0.3333333333333333,1.0,3,27.241800038609654,109778.22039998136,109805.46220001997,137,22
bm25,What does asynchronous code mean?,conceptual,0.0,0.0,3,25.24500002618879,122969.41329998663,122994.65830001282,592,86
bm25,What is a coroutine?,factual,0.0,0.0,3,21.712500019930303,145611.72039998928,145633.4329000092,1487,206
bm25,"If I declare a path operation function with normal def instead of async def, how does FastAPI run it?",conceptual,0.0,0.0,3,26.931999949738383,86582.97620003577,86609.90819998551,49,9
bm25,What is AnyIO and how does FastAPI use it?,factual,0.0,0.0,3,24.179200001526624,114737.85350000253,114762.03270000406,222,32
bm25,Why is FastAPI a good match for Machine Learning web APIs?,conceptual,0.6666666666666666,1.0,3,22.712700010742992,114781.36790002463,114804.08060003538,304,45
dense,What is the most popular Python framework that is used to build systems like Instagram?,factual,0.3333333333333333,1.0,3,2800.543599994853,95492.0795999933,98292.62319998816,6,1
dense,"Who created Django REST Framework, Starlette, and Uvicorn?",factual,0.3333333333333333,1.0,3,211.92109998082742,71367.3227999825,71579.24389996333,93,15
dense,What are the two web user interfaces for API documentation that FastAPI integrates based on the OpenAPI standard?,factual,0.0,0.0,3,205.62319998862222,108615.8737000078,108821.49689999642,21,4
dense,What status code range should I use for errors caused by the client?,factual,0.3333333333333333,1.0,3,158.9428000152111,65411.61529999226,65570.55810000747,112,21
dense,Can I add custom headers to an HTTP error response?,factual,0.3333333333333333,1.0,3,135.40670002112165,118464.7537000128,118600.16040003393,273,42
dense,How do I create a custom exception handler for my own exception type?,procedural,0.3333333333333333,1.0,3,112.96120000770316,129243.29870002111,129356.25990002882,574,65
dense,What exception does FastAPI raise internally when a request contains invalid data?,factual,0.3333333333333333,0.5,3,111.61799996625632,71213.90009997413,71325.51809994038,22,1
dense,What is the difference between FastAPI's HTTPException and Starlette's HTTPException?,conceptual,0.0,0.0,3,122.37370002549142,92822.83710001502,92945.21080004051,376,48
dense,"When I register an exception handler, should I register it for FastAPI's HTTPException or Starlette's HTTPException?",procedural,0.0,0.0,3,200.9163000038825,87771.4994000271,87972.41570003098,394,51
dense,Does the RequestValidationError contain the invalid data that the client sent?,factual,0.3333333333333333,0.5,3,171.60550004336983,127627.01419997029,127798.61970001366,80,11
dense,What is the main job of a data serialization library like Marshmallow in an API?,conceptual,0.0,0.0,3,2604.578300000867,89457.57329999469,92062.15159999556,657,90
dense,"Which framework inspired FastAPI to get crazy performance, and why?",conceptual,0.0,0.0,3,187.43089999770746,97615.46400000225,97802.89489999996,403,55
dense,What is the recommended server to run a FastAPI application?,factual,0.0,0.0,3,196.78769999882206,105079.91190001485,105276.69960001367,7,1
dense,What basic features does Starlette provide that FastAPI builds on top of?,factual,0.3333333333333333,0.5,3,203.51770002162084,85859.82409998542,86063.34180000704,285,37
dense,How do I run the live server for my FastAPI app?,procedural,0.0,0.0,3,182.5228999950923,66053.41659998521,66235.9394999803,50,9
dense,"After I start the server, what URL should I open in my browser to see the JSON response?",procedural,0.0,0.0,3,194.5203999930527,76640.68080001744,76835.20120001049,54,10
dense,Where can I find the automatic interactive API documentation provided by Swagger UI?,procedural,0.0,0.0,3,182.28300000191666,75217.31360000558,75399.5966000075,26,1
dense,What is OpenAPI?,conceptual,0.0,0.0,3,174.33529999107122,37387.69170001615,37562.02700000722,54,10
dense,Does FastAPI automatically generate a raw JSON schema of my API?,factual,0.3333333333333333,1.0,3,225.46409998903982,84330.10310001555,84555.56720000459,181,28
dense,"What are the steps to create a basic FastAPI application, from importing to deploying?",procedural,0.3333333333333333,0.25,3,170.0598000024911,114360.7592000044,114530.81900000689,714,102
dense,Can I use a normal function instead of an 'async def' function for my path operation?,factual,0.3333333333333333,1.0,3,250.68739999551326,115393.02860002499,115643.7160000205,271,43
dense,How does FastAPI know if a function parameter is a query parameter and not a path parameter?,conceptual,0.0,0.0,3,164.9160000088159,93036.33070000797,93201.24670001678,494,72
dense,What are query parameters in a URL? Can you give me an example?,factual,0.3333333333333333,1.0,3,154.73239999846555,124760.39390001097,124915.12630000943,379,55
dense,"If I declare a query parameter with a default value, is it required or optional?",factual,0.3333333333333333,0.5,3,183.18160000490025,107965.74859999237,108148.93019999727,8,1
dense,How do I make a query parameter optional?,procedural,0.3333333333333333,1.0,3,148.16580002661794,80933.52750001941,81081.69330004603,42,8
dense,Can FastAPI automatically convert query parameter values from strings to other types like integers or booleans?,factual,0.0,0.0,3,216.2860999815166,104343.39110000292,104559.67719998443,54,10
dense,What values can I pass in the URL to make a boolean query parameter become True?,procedural,0.3333333333333333,0.5,3,183.3675000234507,120225.86360000423,120409.23110002768,208,25
dense,How do I make a query parameter required (not optional)?,procedural,0.0,0.0,3,160.20390001358464,106393.06129998295,106553.26519999653,771,112
dense,What happens if I don't provide a required query parameter in the URL?,factual,0.0,0.0,3,225.43029999360442,116852.44200000307,117077.87229999667,211,38
dense,What is a request body? When do I need to send one?,conceptual,0.3333333333333333,1.0,3,165.2194999915082,114715.99130000686,114881.21079999837,419,68
dense,"How do I create a dependency that needs to do some cleanup after the request is finished, like closing a database session?",procedural,0.0,0.0,3,1960.3306000353768,147080.26019996032,149040.5907999957,1223,181
dense,Can I use a try block inside a dependency that uses yield?,factual,0.3333333333333333,0.5,3,168.73169998871163,91709.49209999526,91878.22379998397,529,80
dense,"If I have multiple dependencies that use yield, does FastAPI run their exit code in the correct order?",factual,0.3333333333333333,0.5,3,134.01650002924725,120074.88269999158,120208.89920002082,395,64
dense,What happens if I catch an exception in a dependency with yield but don't re-raise it?,conceptual,0.3333333333333333,0.5,3,128.51249997038394,117484.431400022,117612.94389999239,367,51
dense,What is the recommended way to handle exceptions caught in a dependency with yield?,procedural,0.3333333333333333,1.0,3,118.29600000055507,131074.35680000344,131192.652800004,735,100
dense,What are the two possible scope values I can use with Depends() for a dependency that uses yield?,factual,0.3333333333333333,1.0,3,102.05440002027899,108607.31260001194,108709.36700003222,21,2
dense,What is a context manager in Python?,conceptual,0.0,0.0,3,112.95460001565516,84050.72960001417,84163.68420002982,364,56
dense,Do I need to decorate my dependency function with @contextlib.contextmanager when using yield in FastAPI?,factual,0.0,0.0,3,136.05929998448119,79957.34030002495,80093.39960000943,236,28
